build_id,build_nm,photo_path,explain_path,design,build_type,kor_flag,iso_flag,koppen,gfa,structure,re_year,re_cost,wall,roof,window,windowframe,airtight,windowcontrol,awning,n_ventilation,n_lighting,heating,cooling,coolheat,ventilation,lighting,sunlight,solarheat,geothermal,windpower,bio,fuelcell,cogeneration,ess,re_before_energy,re_after_energy,re_energy,re_before_emission,re_after_emission,re_emission,re_before_lcc,re_after_lcc,re_life_cycle_cost
18,강릉 입암3아파트 사회복지관,img/search_fig/18.png,img/popup/explain 18.jpg,1,11,,410,cfa,1615,1,,409000000,"107, 102",,210,,,,,,,,,606,702,,,852,,,,,,,132000,80784,0.39,55968,34252,0.39,939605,32224373,0.68
19,경기도 시흥시 ABC 행복학습타운,img/search_fig/19.png,img/popup/explain 19.jpg,1,7,,410,dwa,17784,1,,1303000000,107,,210,,,,,,,,,606,702,752,,,,,,,,,7698694,3375403,0.56,3264246,1431171,0.56,939605,32224373,0.68
20,대구 달서구청,img/search_fig/20.png,img/popup/explain 20.jpg,1,11,,410,cwa,17898,1,,2720000000,"107, 102",,210,,,,,,,,,606,702,,801,,,,,,,,1260984,923040,0.27,534657,391369,0.27,939605,32224373,0.68
21,충청북도 자치연수원 공무원교육관,img/search_fig/21.png,img/popup/explain 21.jpg,1,11,,410,dwa,9591,1,,2168000000,107,,210,,,,,,,,,,,"754, 752",804,,,,,,,,4135639,1331231,0.68,1753511,564442,0.68,939605,32224373,0.68
22,충주 성내동우체국,img/search_fig/22.png,img/popup/explain 22.jpg,1,11,,410,dwa,2863,1,,1927000000,107,,210,,556,,,,,556,,606,702,752,801,,,,,,,,596569,173005,0.71,252945,73354,0.71,939605,32224373,0.68
23,구) 남원역사,img/search_fig/23.png,img/popup/explain 23.jpg,1,11,,410,dfa,761,1,,440000000,107,,,,,,,,,,,,,,,,,,,,,,319729,133327,0.58,135565,56531,0.58,939605,32224373,0.68
24,전남 광양시 의회청사,img/search_fig/24.png,img/popup/explain 24.jpg,1,11,,410,cfa,6895,1,,1396000000,"107, 109",,210,403,556,,403,,,556,,606,702,,,,,,,,,,3279952,1028734,0.69,1390700,436183,0.69,939605,32224373,0.68
25,충북 음성군청 본청사,img/search_fig/25.png,img/popup/explain 25.jpg,1,11,,410,dwa,8684,1,,4319000000,"107, 102",,210,,556,,,,,556,,602,,752,804,,,,,1051,,,3126240,1240944,0.6,1325526,526160,0.6,939605,32224373,0.68
26,진주 평거2주공아파트,img/search_fig/26.png,img/popup/explain 26.jpg,1,2,,410,cwa,22036,1,,3172000000,107,,210,,,,,,,,,,703,752,801,,,,,,,,3759342,1947982,0.48,1593961,825944,0.48,939605,32224373,0.68
27,충북 중앙경찰학교 1강의동,img/search_fig/27.png,img/popup/explain 27.jpg,1,7,,410,dwa,8732,1,,4892000000,"107, 102",,210,,556,,,,,556,,607,702,752,804,,,,,,,,2410080,1737668,0.28,1021874,736771,0.28,939605,32224373,0.68
