build_id,build_nm,photo_path,explain_path,design,build_type,kor_flag,iso_flag,koppen,gfa,structure,re_year,re_cost,wall,roof,window,windowframe,airtight,windowcontrol,awning,n_ventilation,n_lighting,heating,cooling,coolheat,ventilation,lighting,sunlight,solarheat,geothermal,windpower,bio,fuelcell,cogeneration,ess,re_before_energy,re_after_energy,re_energy,re_before_emission,re_after_emission,re_emission,re_before_lcc,re_after_lcc,re_life_cycle_cost
22,충주 성내동우체국,/tcase/22.png,/explain/explain 22.jpg,1,11,,410,dwa,2863,1,,1927000000,107,,210,,556,,,,,556,,606,702,752,801,,,,,,,,596569 ,173005 ,0.71 ,252945 ,73354 ,0.71 ,939605 ,32224373 ,0.68 
23,구) 남원역사,/tcase/23.png,/explain/explain 23.jpg,1,11,,410,dfa,761,1,,440000000,107,,,,,,,,,,,,,,,,,,,,,,319729 ,133327 ,0.58 ,135565 ,56531 ,0.58 ,939605 ,32224373 ,0.68 
24,전남 광양시 의회청사,/tcase/24.png,/explain/explain 24.jpg,1,11,,410,cfa,6895,1,,1396000000,"107, 109",,210,403,556,,403,,,556,,606,702,,,,,,,,,,3279952 ,1028734 ,0.69 ,1390700 ,436183 ,0.69 ,939605 ,32224373 ,0.68 
25,충북 음성군청 본청사,/tcase/25.png,/explain/explain 25.jpg,1,11,,410,dwa,8684,1,,4319000000,"107, 102",,210,,556,,,,,556,,602,,752,804,,,,,1051,,,3126240 ,1240944 ,0.60 ,1325526 ,526160 ,0.60 ,939605 ,32224373 ,0.68 
26,진주 평거2주공아파트,/tcase/26.png,/explain/explain 26.jpg,1,2,,410,cwa,22036,1,,3172000000,107,,210,,,,,,,,,,703,752,801,,,,,,,,3759342 ,1947982 ,0.48 ,1593961 ,825944 ,0.48 ,939605 ,32224373 ,0.68 
27,충북 중앙경찰학교 1강의동,/tcase/27.png,/explain/explain 27.jpg,1,7,,410,dwa,8732,1,,4892000000,"107, 102",,210,,556,,,,,556,,607,702,752,804,,,,,,,,2410080 ,1737668 ,0.28 ,1021874 ,736771 ,0.28 ,939605 ,32224373 ,0.68 
28,과천시민회관,/tcase/28.png,/explain/explain 28.jpg,1,11,,410,dwa,41056,1,,1167000000,102,,,,553,,,,,553,,606,702,,,,,,,,,,21781291 ,10715616 ,0.51 ,9235267 ,4543421 ,0.51 ,939605 ,32224373 ,0.68 
29,경북 구미시청 본관,/tcase/29.png,/explain/explain 29.jpg,1,11,,410,dfa,8360,1,,6074000000,"107, 102",,210,403,556,,403,,,556,,606,702,752,804,,,,,1051,,,2895219 ,1627692 ,0.44 ,1227573 ,690141 ,0.44 ,939605 ,32224373 ,0.68 
30,부산 금정구청,/tcase/30.png,/explain/explain 30.jpg,1,11,,410,cfa,14464,1,,6891000000,"103, 102",,210,,556,,,,,556,,606,"702, 706",752,804,,,,,,,,7276323 ,2849408 ,0.61 ,3085161 ,1208149 ,0.61 ,939605 ,32224373 ,0.68 
31,경남 하동군청사,/tcase/31.png,/explain/explain 31.jpg,1,11,,410,cwa,5330,1,,144100000,"109, 107",,210,,556,,,,,556,,606,702,752,801,,,,,,,,1411850 ,708890 ,0.50 ,598624 ,300569 ,0.50 ,939605 ,32224373 ,0.68 
32,하남시 신장도서관,/tcase/32.png,/explain/explain 32.jpg,1,3,,410,dwa,2145,1,,2233000000,107,,210,,,,,,,,,606,702,,801,,,,,,,,539635 ,51981 ,0.90 ,228805 ,22040 ,0.90 ,939605 ,32224373 ,0.68 
33,부산 중구청,/tcase/33.png,/explain/explain 33.jpg,1,11,,410,cfa,7860,1,,4855000000,"107, 104",,210,,556,,,,,556,,606,702,752,802,,,,,,,,2266974 ,1233234 ,0.46 ,961197 ,522891 ,0.46 ,939605 ,32224373 ,0.68 
34,대구 시립중앙도서관,/tcase/34.png,/explain/explain 34.jpg,1,7,,410,cwa,10181,1,,3533000000,"107, 102",,210,,,,,,,,,602,702,752,801,,,,,,,,2696310 ,1326584 ,0.51 ,1143235 ,562472 ,0.51 ,939605 ,32224373 ,0.68 
35,충남 청양 우체국,/tcase/35.png,/explain/explain 35.jpg,1,11,,410,dfa,1569,1,,694000000,107,,210,,,,,,,,,606,702,,801,,,,,,,,377333 ,141500 ,0.63 ,159989 ,59996 ,0.62 ,939605 ,32224373 ,0.68 
36,국립농산물품질관리원 경남지원,/tcase/36.png,/explain/explain 36.jpg,1,11,,410,cwa,1697,1,,698000000,"107, 102",,210,,556,,,,,556,,,702,752,802,,,,,,,,544907 ,235544 ,0.57 ,231041 ,99871 ,0.57 ,939605 ,32224373 ,0.68 
37,한국철도공사 동대구역사,/tcase/37.png,/explain/explain 37.jpg,1,11,,410,cwa,31965,1,,17458000000,107,,210,403,,,403,,,,,604,706,"752, 753",802,,,,,,,,52934040 ,10206425 ,0.81 ,24440333 ,4327524 ,0.82 ,939605 ,32224373 ,0.68 
38,전남 장성군 북일면 행정복지센터,/tcase/38.png,/explain/explain 38.jpg,1,11,,410,cfa,722,1,,447000000,"107, 102",,210,,556,,,,,556,,606,702,752,802,,,,,,,,314575 ,88156 ,0.72 ,133380 ,37378 ,0.72 ,939605 ,32224373 ,0.68 
39,강원대학교 농업생명과학대학 1호관,/tcase/39.png,/explain/explain 39.jpg,1,7,,410,dwa,4222,1,,2033000000,107,,210,,,,,,,,,606,702,,801,,,,,,,,6842430 ,887464 ,0.87 ,2901190 ,376285 ,0.87 ,939605 ,32224373 ,0.68 
40,서울 서초구 서운중학교,/tcase/40.png,/explain/explain 40.jpg,1,7,,410,dwa,8662,1,,3057000000,107,,210,403,,,403,,,,,606,702,752,801,,,,,,,,207960 ,99613 ,0.52 ,88175 ,42236 ,0.52 ,939605 ,32224373 ,0.68 
41,서울대학교 공학관2(31동),/tcase/41.png,/explain/explain 41.jpg,1,7,,410,dwa,6987,1,,1776000000,107,,210,,,,,,,,,606,,752,801,,,,,,,,2541778 ,1382727 ,0.46 ,1077714 ,586276 ,0.46 ,939605 ,32224373 ,0.68 
42,한국철도공사서울사옥,/tcase/42.png,/explain/explain 42.jpg,1,11,,410,dwa,23272,1,,4646000000,102,,210,,"557, 556",,,,,"557, 556",651,,"703, 706",752,801,,,,,,,,9982964 ,6099591 ,0.39 ,4232777 ,2586227 ,0.39 ,939605 ,32224373 ,0.68 
43,부산 범일2동 주민센터,/tcase/43.png,/explain/explain 43.jpg,1,11,,410,cwa,400,1,,380000000,"109, 104",,,,,,,,,,,606,702,752,802,,,,,,,,159755 ,31360 ,0.80 ,67736 ,13297 ,0.80 ,939605 ,32224373 ,0.68 
44,대구 침산1동 주민센터,/tcase/44.png,/explain/explain 44.jpg,1,11,,410,cwa,551,1,,345000000,"107, 102",,210,403,,,403,,,,,,702,752,"802, 805",,,,,,,,146446 ,50802 ,0.65 ,62093 ,21540 ,0.65 ,939605 ,32224373 ,0.68 
45,한국 환경산업 기술원 연수동,/tcase/45.png,/explain/explain 45.jpg,1,11,,410,dwa,3514,1,,4795000,"107, 102",,210,,,,,,,,,604,0,752,801,,,,,,,,1998763 ,667660 ,0.67 ,847476 ,283088 ,0.67 ,939605 ,32224373 ,0.68 
46,인천 의료원 장례식장,/tcase/46.png,/explain/explain 46.jpg,1,15,,410,dwa,3469,1,,,"107, 103, 102",,210,,556,,,,,556,,602,702,752,802,852,,,,,,,2004388 ,1225598 ,0.39 ,849861 ,519654 ,0.39 ,939605 ,32224373 ,0.68 
47,춘천 교도소,/tcase/47.png,/explain/explain 47.jpg,1,16,,410,dwa,112554,1,,770960,"103, 102",,210,401,,,401,,,,,602,703,"752, 753",,852,,,,,,,67982616 ,26393913 ,0.59 ,28824629 ,11191019 ,0.61 ,939605 ,32224373 ,0.68 
