explain_path,photo_path,name,con_yr,re_yr,bldg_type,bldg_loc,Area,gr_floor,under_floor,re_cost,energy_reduction,co2_reduction
https://raw.githubusercontent.com/Saem-repo/remodel_app/master/img/pop_up/Explain_28.png,img/rec_fig/28.png,과천시민회관,1995.00,2015.62,11.00,2.00,41056.00,4.00,3.00,1167000000.00,0.51,0.51
https://raw.githubusercontent.com/Saem-repo/remodel_app/master/img/pop_up/Explain_29.png,img/rec_fig/29.png,경북 구미시청 본관,1979.00,2015.62,11.00,11.00,8360.00,5.00,1.00,6074000000.00,0.44,0.44
https://raw.githubusercontent.com/Saem-repo/remodel_app/master/img/pop_up/Explain_30.png,img/rec_fig/30.png,부산 금정구청,1991.00,2015.62,11.00,14.00,14464.00,8.00,2.00,6891000000.00,0.61,0.61
https://raw.githubusercontent.com/Saem-repo/remodel_app/master/img/pop_up/Explain_31.png,img/rec_fig/31.png,경남 하동군청사,1992.00,2015.62,11.00,12.00,5330.00,3.00,1.00,144100000.00,0.50,0.50
https://raw.githubusercontent.com/Saem-repo/remodel_app/master/img/pop_up/Explain_32.png,img/rec_fig/32.png,하남시 신장도서관,1996.00,2015.62,3.00,2.00,2145.00,3.00,1.00,2233000000.00,0.90,0.90
https://raw.githubusercontent.com/Saem-repo/remodel_app/master/img/pop_up/Explain_33.png,img/rec_fig/33.png,부산 중구청,1988.00,2015.62,11.00,14.00,7860.00,8.00,2.00,4855000000.00,0.46,0.46
https://raw.githubusercontent.com/Saem-repo/remodel_app/master/img/pop_up/Explain_34.png,img/rec_fig/34.png,대구 시립중앙도서관,1985.00,2015.62,7.00,13.00,10181.00,4.00,1.00,3533000000.00,0.51,0.51
https://raw.githubusercontent.com/Saem-repo/remodel_app/master/img/pop_up/Explain_35.png,img/rec_fig/35.png,충남 청양 우체국,1991.00,2015.62,11.00,5.00,1569.00,2.00,1.00,694000000.00,0.62,0.62
https://raw.githubusercontent.com/Saem-repo/remodel_app/master/img/pop_up/Explain_36.png,img/rec_fig/36.png,국립농산물품질관리원 경남지원,1988.00,2015.62,11.00,12.00,1697.00,5.00,1.00,698000000.00,0.57,0.57
https://raw.githubusercontent.com/Saem-repo/remodel_app/master/img/pop_up/Explain_37.png,img/rec_fig/37.png,한국철도공사 동대구역사(다시확인),1971.00,2015.62,11.00,13.00,31965.00,5.00,1.00,17458000000.00,0.81,0.82
https://raw.githubusercontent.com/Saem-repo/remodel_app/master/img/pop_up/Explain_38.png,img/rec_fig/38.png,전남 장성군 북일면 행정복지센터,1989.00,2015.62,11.00,9.00,722.00,2.00,0.98,447000000.00,0.72,0.72
https://raw.githubusercontent.com/Saem-repo/remodel_app/master/img/pop_up/Explain_39.png,img/rec_fig/39.png,강원대학교 농업생명과학대학 1호관,1978.00,2015.62,7.00,16.00,4222.00,4.00,1.00,2033000000.00,0.87,0.87
https://raw.githubusercontent.com/Saem-repo/remodel_app/master/img/pop_up/Explain_40.png,img/rec_fig/40.png,서울 서초구 서운중학교,1984.00,2015.62,7.00,1.00,8662.00,4.00,1.00,3057000000.00,0.52,0.52
https://raw.githubusercontent.com/Saem-repo/remodel_app/master/img/pop_up/Explain_41.png,img/rec_fig/41.png,서울대학교 공학관2(31동),1979.00,2015.62,7.00,1.00,6987.00,4.00,1.00,1776000000.00,0.46,0.46
https://raw.githubusercontent.com/Saem-repo/remodel_app/master/img/pop_up/Explain_42.png,img/rec_fig/42.png,한국철도공사서울사옥(다시확인),1979.00,2015.62,11.00,1.00,23272.28,8.00,2.00,4646000000.00,0.39,0.39
https://raw.githubusercontent.com/Saem-repo/remodel_app/master/img/pop_up/Explain_43.png,img/rec_fig/43.png,부산 범일2동 주민센터,1989.00,2015.62,11.00,14.00,400.26,2.00,0.98,380000000.00,0.80,0.80
https://raw.githubusercontent.com/Saem-repo/remodel_app/master/img/pop_up/Explain_44.png,img/rec_fig/44.png,대구 침산1동 주민센터,1992.00,2015.62,11.00,13.00,551.48,2.00,1.00,345000000.00,0.65,0.65
https://raw.githubusercontent.com/Saem-repo/remodel_app/master/img/pop_up/Explain_45.png,img/rec_fig/45.png,한국 환경산업 기술원 연수동,1977.00,2015.62,11.00,1.00,3514.00,4.00,1.00,4795000.00,0.67,0.67
https://raw.githubusercontent.com/Saem-repo/remodel_app/master/img/pop_up/Explain_46.png,img/rec_fig/46.png,인천 의료원 장례식장,1997.00,2015.62,15.00,3.00,3469.00,4.00,1.00,4795000.00,0.39,0.39
https://raw.githubusercontent.com/Saem-repo/remodel_app/master/img/pop_up/Explain_47.png,img/rec_fig/47.png,춘천 교도소,1981.00,2015.62,16.00,16.00,112554.00,2.00,0.98,770960.00,0.59,0.61
https://raw.githubusercontent.com/Saem-repo/remodel_app/master/img/pop_up/Explain_48.png,img/rec_fig/48.png,목포 대학교 사회 과학관,1982.00,2015.62,7.00,9.00,13605.00,4.00,1.00,2740000.00,0.41,0.41
https://raw.githubusercontent.com/Saem-repo/remodel_app/master/img/pop_up/Explain_49.png,img/rec_fig/49.png,정읍시 연지청사,1990.00,2015.62,11.00,8.00,1739.00,4.00,1.00,1641828.00,0.29,0.29
https://raw.githubusercontent.com/Saem-repo/remodel_app/master/img/pop_up/Explain_50.png,img/rec_fig/50.png,거창 여자고등학교,1972.00,2015.62,7.00,12.00,9487.00,3.00,0.98,1641828.00,0.36,0.36
https://raw.githubusercontent.com/Saem-repo/remodel_app/master/img/pop_up/Explain_51.png,img/rec_fig/51.png,통영시청 제2청사,1988.59,2015.62,11.00,12.00,5684.60,5.00,1.00,1641828.00,0.24,0.44
https://raw.githubusercontent.com/Saem-repo/remodel_app/master/img/pop_up/Explain_52.png,img/rec_fig/52.png,영천시청 본관,1988.59,2015.62,11.00,11.00,5495.50,3.00,0.00,1641828.00,0.13,0.13
