Id,사진,이름,준공년도,리모델링년도,빌딩타입,위치,면적,지상층수,지하층수,전_에너지소비량,후_에너지소비량,에너지저감율,전_벽열관류율,후_벽열관류율,벽열관류율_향상율,전_바닥열관류율,후_바닥열관류율,바닥열관류율_향상율,전_지붕열관류율,후_지붕열관류율,지붕열관류율_향상율,전_창문열관류율,후_창문열관류율,창문열관류율_향상율,전_기밀성,후_기밀성,기밀성_향상율,전_일사차폐계수,후_일사차폐계수,일사차폐계수_향상율,전_이산화탄소배출량,후_이산화탄소배출량,이산화탄소배출량_향상율
21,,충청북도 자치연수원 공무원교육관,1996,2015.619048,11,4,9591,3,1,4135639.2,1331230.8,0.678107607,0.282,0.26,0.078014184,1.312,0.29,0.778963415,1.037,0.15,0.855351977,3.6,1.5,0.583333333,81.32,5,0.938514511,2.61,0.595,0.772030651,1753511,564442,0.678107523
22,,충주 성내동우체국,1977,2015.619048,11,4,2863,3,1,596568.75,173004.9375,0.71,7.245,0.26,0.964113182,1.312,0.29,0.778963415,1.037,0.15,0.855351977,6.6,1.5,0.772727273,11.76,5,0.574829932,2.61,0.595,0.772030651,252945,73354,0.710000198
23,,구) 남원역사,1986,2015.619048,11,8,761,1,0,319729.4964,133327.2,0.583,3.115,0.244,0.921669342,1.312,0.35,0.733231707,3.115,0.199,0.93611557,3.596,1.479,0.588709677,37.58,5,0.866950506,2.61,0.272,0.895785441,135565,56531,0.582997086
24,,전남 광양시 의회청사,1993,2015.619048,11,9,6895,5,1,3279951.5,1028734,0.686356948,0.72,0.32,0.555555556,1.312,0.35,0.733231707,1.037,0.15,0.855351977,2.1,1.8,0.142857143,88.93,5,0.943776004,2.61,0.595,0.772030651,1390700,436183,0.68635723
25,,충북 음성군청 본청사,1995,2015.619048,11,4,8684,6,1,3126240,1240943.6,0.603055556,1.6,0.24,0.85,1.312,0.29,0.778963415,1.037,0.15,0.855351977,4,1.5,0.625,40.53,5,0.876634592,2.61,0.595,0.772030651,1325526,526160,0.603055693
26,,진주 평거2주공아파트,1991,2015.619048,2,12,22036,6,1,3759341.6,1947982.4,0.481828839,1.18,0.31,0.737288136,0.521,0.31,0.404990403,0.54,0.18,0.666666667,5.3,1.2,0.773584906,8.85,5,0.435028249,2.61,0.595,0.772030651,1593961,825944,0.481829229
27,,충북 중앙경찰학교 1강의동,1987,2015.619048,7,4,8732,4,1,2410080.444,1737668,0.279,3.8,0.175,0.953947368,1.312,0.29,0.778963415,1.037,0.118,0.886210222,3.596,1.028,0.714126808,37.58,5,0.866950506,2.61,0.27,0.896551724,1021874,736771,0.279000151
28,,과천시민회관,1995,2015.619048,11,2,41056,4,3,21781291,10715616,0.508035773,3.8,0.198,0.947894737,1.312,0.29,0.778963415,1.037,0.145,0.860173578,3.596,1.459,0.594271413,37.58,5,0.866950506,2.61,0.35,0.865900383,9235267,4543421,0.508035772
29,,경북 구미시청 본관,1979,2015.619048,11,11,8360,5,1,2895218.783,1627692,0.4378,0.37,0.24,0.351351351,1.312,0.35,0.733231707,1.037,0.18,0.826422372,3.6,1.5,0.583333333,44.59,5,0.887867235,2.61,0.595,0.772030651,1227573,690141,0.43780044
30,,부산 금정구청,1991,2015.619048,11,14,14464,8,2,7276322.778,2849408,0.6084,3.8,0.32,0.915789474,1.312,0.35,0.733231707,1.037,0.18,0.826422372,4,1.8,0.55,95.85,5,0.947835159,2.61,0.595,0.772030651,3085161,1208149,0.608400015
31,,경남 하동군청사,1992,2015.619048,11,12,5330,3,1,1411850.229,708890,0.4979,0.9,0.32,0.644444444,1.312,0.35,0.733231707,1.037,0.18,0.826422372,2.3,1.08,0.530434783,36.58,5,0.863313286,2.61,0.595,0.772030651,598624,300569,0.497900184
32,,하남시 신장도서관,1996,2015.619048,3,2,2145,3,1,539635,51980.5,0.903674706,3.8,0.17,0.955263158,1.312,0.29,0.778963415,1.037,0.17,0.836065574,3.596,1.27,0.646829811,37.58,5,0.866950506,2.61,0.33,0.873563218,228805,22040,0.903673434
33,,부산 중구청,1988,2015.619048,11,14,7860,8,2,2266974.265,1233234,0.456,1.7,0.32,0.811764706,1.312,0.35,0.733231707,1.037,0.18,0.826422372,4,1.8,0.55,35.62,5,0.859629422,2.61,0.595,0.772030651,961197,522891,0.456000175
34,,대구 시립중앙도서관,1985,2015.619048,7,13,10181,4,1,2696309.553,1326584.3,0.508,3.8,0.152,0.96,1.312,0.35,0.733231707,1.037,0.144,0.861137898,3.596,1.347,0.62541713,37.58,5,0.866950506,2.61,0.36,0.862068966,1143235,562472,0.507999668
35,,충남 청양 우체국,1991,2015.619048,11,5,1569,2,1,377333.3333,141500,0.625,3.8,0.149,0.960789474,1.312,0.29,0.778963415,1.037,0.17,0.836065574,3.596,1.27,0.646829811,37.58,5,0.866950506,2.61,0.33,0.873563218,159989,59996,0.624999219
36,,국립농산물품질관리원 경남지원,1988,2015.619048,11,12,1697,5,1,544906.7,235543.6,0.567735908,1.7,0.32,0.811764706,1.312,0.35,0.733231707,1.037,0.18,0.826422372,3.2,1.8,0.4375,50.97,5,0.90190308,2.61,0.595,0.772030651,231041,99871,0.567734731
37,,한국철도공사 동대구역사(다시확인),1971,2015.619048,11,13,31965,5,1,52934040,10206424.5,0.80718599,0.55,0.32,0.418181818,1.312,0.35,0.733231707,1.037,0.18,0.826422372,5.3,1.8,0.660377358,126.85,5,0.960583366,2.61,0.595,0.772030651,24440333.3,4327524,0.822935148
38,,전남 장성군 북일면 행정복지센터,1989,2015.619048,11,9,722,2,0.979591837,314575.4,88156.2,0.719761304,0.66,0.32,0.515151515,1.312,0.35,0.733231707,1.037,0.18,0.826422372,3.1,1.8,0.419354839,20.62,5,0.757516974,2.61,0.595,0.772030651,133380,37378,0.719763083
39,,강원대학교 농업생명과학대학 1호관,1978,2015.619048,7,16,4222,4,1,6842430,887464.4,0.87029982,3.8,0.149,0.960789474,1.312,0.24,0.817073171,1.037,0.17,0.836065574,3.596,1.27,0.646829811,37.58,5,0.866950506,2.61,0.33,0.873563218,2901190,376285,0.870299774
40,,서울 서초구 서운중학교,1984,2015.619048,7,1,8662,4,1,207960.334,99613,0.521,3.8,0.125,0.967105263,1.312,0.29,0.778963415,1.037,0.129,0.8756027,3.596,1.028,0.714126808,37.58,5,0.866950506,2.61,0.27,0.896551724,88175,42236,0.520998015
41,,서울대학교 공학관2(31동),1979,2015.619048,7,1,6987,4,1,2541778.125,1382727.3,0.456,3.8,0.177,0.953421053,1.312,0.29,0.778963415,1.037,0.128,0.87656702,3.596,1.028,0.714126808,37.58,5,0.866950506,2.61,0.27,0.896551724,1077714,586276,0.456000386
