Id,사진,이름,준공년도,리모델링년도,빌딩타입,위치,면적,지상층수,지하층수,전_에너지소비량,후_에너지소비량,에너지저감율,전_벽열관류율,후_벽열관류율,벽열관류율_향상율,전_바닥열관류율,후_바닥열관류율,바닥열관류율_향상율,전_지붕열관류율,후_지붕열관류율,지붕열관류율_향상율,전_창문열관류율,후_창문열관류율,창문열관류율_향상율,전_기밀성,후_기밀성,기밀성_향상율,전_일사차폐계수,후_일사차폐계수,일사차폐계수_향상율,전_이산화탄소배출량,후_이산화탄소배출량,이산화탄소배출량_향상율
87,,한국수자원공사 물사랑어린이집,1988,2015,8,6,550,2,1,190190,148005,0.221804511,0.946,0.24,0.746300211,0.328,0.29,0.115853659,0.56,0.15,0.732142857,3.59,1.5,0.582172702,37.58,5,0.866950506,0.62,0.35,0.435483871,80640.56,62754.12,0.221804511
88,,한국건설기술연구원 (구교통연구원),1988,2015,11,2,8145,5.862068966,1,2775001.5,1525558.5,0.450249486,0.946,0.24,0.746300211,0.328,0.29,0.115853659,0.56,0.15,0.732142857,3.59,1.5,0.582172702,37.58,5,0.866950506,0.62,0.35,0.435483871,1176600.636,646836.804,0.450249486
89,,전남 무안군 농업기술센터,1988,2016,11,9,932,2,1,195254,134674,0.31026253,0.946,0.32,0.661733615,0.328,0.35,-0.067073171,0.56,0.18,0.678571429,3.59,1.8,0.498607242,37.58,5,0.866950506,0.62,0.35,0.435483871,82787.696,57101.776,0.31026253
90,,광주 시립 청소년 삶 디자인센터,1967,2015,6,10,8415,6,1,1374169.5,1077961.5,0.215554195,0.946,0.32,0.661733615,0.328,0.35,-0.067073171,0.56,0.18,0.678571429,3.59,1.8,0.498607242,37.58,5,0.866950506,0.62,0.35,0.435483871,582647.868,457055.676,0.215554195
91,,제주 서귀포의료원 (산후조리원),1982,2015,6,17,3624,4,2,829533.6,590349.6,0.288335518,0.946,0.41,0.566596195,0.328,0.47,-0.432926829,0.56,0.25,0.553571429,3.59,2.2,0.38718663,37.58,5,0.866950506,0.62,0.35,0.435483871,351722.2464,250308.2304,0.288335518
92,,한국도로공사 군위지사,1995,2015,11,11,1896,2,1,354741.6,270748.8,0.23677178,0.946,0.24,0.746300211,0.328,0.29,0.115853659,0.56,0.15,0.732142857,3.59,1.5,0.582172702,37.58,5,0.866950506,0.62,0.35,0.435483871,150410.4384,114797.4912,0.23677178
93,,한국과학기술원 기계공학동,1993,2016,7,6,30387,7,1,12273309.3,9973013.4,0.187422629,0.946,0.289,0.694503171,0.328,0.29,0.115853659,0.56,0.15,0.732142857,3.59,1.4,0.610027855,37.58,5,0.866950506,0.62,0.41238,0.334870968,5203883.143,4228557.682,0.187422629
94,,김포국제공항,1980,2018,11,1,77775,4,1,63433290,43196235,0.319028936,0.946,0.2,0.78858351,0.328,0.29,0.115853659,0.56,0.15,0.732142857,3.59,1.5,0.582172702,37.58,5,0.866950506,0.62,0.35,0.435483871,26895714.96,18315203.64,0.319028936
95,,경기도 따복기숙사(경기도기숙사),1984,2017,2,2,5510,5,1,983535,801154,0.185434174,0.946,0.27,0.714587738,0.328,0.29,0.115853659,0.56,0.15,0.732142857,3.59,2.1,0.415041783,37.58,5,0.866950506,0.62,0.35,0.435483871,417018.84,339689.296,0.185434174
96,,서울 강동구청 별관(성안별관),1979,2017,11,1,4705,5,1,1935637,505787.5,0.738697132,0.131,0.113,0.13740458,0.328,0.29,0.115853659,0.56,0.15,0.732142857,1.28,0.89,0.3046875,37.58,5,0.866950506,0.62,0.35,0.435483871,820710.088,214453.9,0.738697132
97,,대구 수성구청 별관,2003,2018,11,13,3100,5,1,1208690,897140,0.2577584,0.538,0.22,0.591078067,0.328,0.15,0.542682927,0.56,0.15,0.732142857,4,1.4,0.65,37.58,5,0.866950506,0.62,0.2175,0.649193548,512484.56,380387.36,0.2577584
98,,한국도로공사 홍천지사,1995,2017,11,16,1922,5.862068966,1,506254.8,257163.6,0.492027335,0.946,0.26,0.725158562,0.328,0.24,0.268292683,0.56,0.15,0.732142857,3.59,1.28,0.643454039,37.58,5,0.866950506,0.62,0.35,0.435483871,214652.0352,109037.3664,0.492027335
99,,한국방송통신대학교 열린관,1982,2018,7,1,5808,5.862068966,1,2008406.4,945542.4,0.529207634,0.946,0.213,0.774841438,0.328,0.29,0.115853659,0.56,0.15,0.732142857,3.59,1.289,0.640947075,37.58,5,0.866950506,0.62,0.35,0.435483871,851564.3136,400909.9776,0.529207634
100,,한국교통대학교 건축관,1985,2018,7,4,2666,3,0,866983.2,421494.6,0.513837638,0.946,0.21,0.778012685,0.328,0.29,0.115853659,0.56,0.15,0.732142857,3.59,1.7,0.526462396,37.58,5,0.866950506,0.62,0.35,0.435483871,367600.8768,178713.7104,0.513837638
101,,대구시 대명동 상가주택,1995,2006,1,13,6820.330732,2,1,110279,56453,0.488089301,2.6529,0.2948,0.888876324,0.328,0.35,-0.067073171,0.56,0.18,0.678571429,5.3,3.1,0.41509434,37.58,5,0.866950506,0.62,0.35,0.435483871,46758,23936,0.4880876
102,,경기도 안양시 ARK,1973,2016,1,2,204,3,0,83375,46471,0.442626687,0.946,0.219,0.768498943,0.328,0.29,0.115853659,0.56,0.15,0.732142857,3.59,0.933,0.740111421,37.58,0.63,0.983235764,0.62,0.35,0.435483871,35351,19704,0.442618313
103,,DPR Construction Phoenix Regional Office(NZEB),1972,2011,11,23,1519.43,1.648648649,0.054054054,2000,20,0.99,0.946,0.45,0.524312896,1.312,0.45,0.657012195,1.037,0.25,0.758919961,3.596,3.3,0.082313682,37.58,5,0.866950506,2.61,0.595,0.772030651,848,8,0.990566038
104,,The George D. Aiken Center at the University of Vermont,1982,2011,7,25,3716.12,1.648648649,0.054054054,281.0810811,104,0.63,0.946,0.45,0.524312896,1.312,0.45,0.657012195,1.037,0.25,0.758919961,3.596,3.3,0.082313682,37.58,5,0.866950506,2.61,0.595,0.772030651,119,44,0.630252101
105,,5Pev,1954.714286,2014,2,56,84.08,1.648648649,0.054054054,216.1290323,67,0.69,0.946,0.44,0.534883721,1.312,0.45,0.657012195,1.037,0.25,0.758919961,3.596,3.3,0.082313682,37.58,5,0.866950506,2.61,0.595,0.772030651,41,14,0.658536585
106,,A2Dominion- Northholt,1954.714286,2010.348624,2,32,79.9,1.648648649,0.054054054,98,49,0.5,0.946,0.16,0.830866808,1.312,0.45,0.657012195,1.037,0.05,0.951783992,3.596,0.9,0.749721913,37.58,5,0.866950506,2.61,0.595,0.772030651,21,9,0.571428571
107,,Almshouses,1954.714286,2010,2,34,27.87,1.648648649,0.054054054,350,70,0.8,0.946,0.7,0.260042283,1.312,0.54,0.588414634,1.037,0.25,0.758919961,3.596,3.3,0.082313682,37.58,5,0.866950506,2.61,0.595,0.772030651,148,30,0.797297297
108,,Barbrook PassivHaus,1954.714286,2010,2,33,71.07,1.648648649,0.054054054,641.6666667,77,0.88,0.946,0.13,0.862579281,1.312,0.2,0.847560976,1.037,0.1,0.903567985,3.596,3.3,0.082313682,37.58,5,0.866950506,2.61,0.595,0.772030651,157,9,0.942675159
109,,BISF Steel Frame House,1954.714286,2010,2,34,88.26,1.648648649,0.054054054,318.5185185,172,0.46,0.946,0.11,0.88372093,1.312,0.43,0.672256098,1.037,0.17,0.836065574,3.596,1.5,0.582869855,37.58,5,0.866950506,2.61,0.595,0.772030651,62,39,0.370967742
110,,Bringing Wates homes into the Future,1954.714286,2010,2,49,75.25,1.648648649,0.054054054,691.4285714,242,0.65,0.946,0.35,0.630021142,1.312,0.45,0.657012195,1.037,0.25,0.758919961,3.596,3.3,0.082313682,37.58,5,0.866950506,2.61,0.595,0.772030651,146,51,0.650684932
111,,Bristol Retrofit,1954.714286,2013,2,35,188.13,1.648648649,0.054054054,220.5882353,75,0.66,0.946,0.35,0.630021142,1.312,0.45,0.657012195,1.037,0.25,0.758919961,3.596,3.3,0.082313682,37.58,5,0.866950506,2.61,0.595,0.772030651,40,14,0.65
112,,City West Homes,1954.714286,2010,2,32,59.46,1.648648649,0.054054054,517.2413793,150,0.71,0.946,0.35,0.630021142,1.312,0.48,0.634146341,1.037,0.25,0.758919961,3.596,3.3,0.082313682,37.58,5,0.866950506,2.61,0.595,0.772030651,99,30,0.696969697
113,,Compton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,,Hospital in Egypt,1954.714286,2010.348624,2,66,31029.6,1.648648649,0.054054054,555.3090429,327.6323353,0.41,0.946,0.4,0.577167019,1.312,0.45,0.657012195,1.037,0.25,0.758919961,3.596,3.14,0.126807564,37.58,5,0.866950506,2.61,0.595,0.772030651,214,139,0.35046729
115,,435 Indio Way(NZEB),1954.714286,2014,11,20,2950.6,1.648648649,0.054054054,7500,75,0.99,0.946,0.05,0.947145877,1.312,0.45,0.657012195,1.037,0.025,0.975891996,3.596,0.4,0.888765295,37.58,5,0.866950506,2.61,0.595,0.772030651,3180,32,0.989937107
116,,mid-terrace Victorian house,1954.714286,2010,2,32,60.39,1.648648649,0.054054054,519.047619,109,0.79,0.946,0.35,0.630021142,1.312,0.45,0.657012195,1.037,0.25,0.758919961,3.596,2.7,0.24916574,37.58,5,0.866950506,2.61,0.595,0.772030651,98,23,0.765306122
117,,Chale Green,1954.714286,2010,2,37,88.26,1.648648649,0.054054054,835.7142857,117,0.86,0.946,0.15,0.841437632,1.312,0.45,0.657012195,1.037,0.25,0.758919961,3.596,0.7,0.805339266,37.58,5,0.866950506,2.61,0.595,0.772030651,168,28,0.833333333
118,,Crawley Homes,1954.714286,2010,2,38,90.58,1.648648649,0.054054054,323.0769231,126,0.61,0.946,0.15,0.841437632,1.312,0.38,0.710365854,1.037,0.25,0.758919961,3.596,0.7,0.805339266,37.58,5,0.866950506,2.61,0.595,0.772030651,65,31,0.523076923
119,,Drum Housing Association,1954.714286,2010,2,40,68.75,1.648648649,0.054054054,619.3548387,192,0.69,0.946,0.35,0.630021142,1.312,0.22,0.832317073,1.037,0.16,0.845708775,3.596,3.3,0.082313682,37.58,5,0.866950506,2.61,0.595,0.772030651,156,45,0.711538462
120,,Penwith Housing,1954.714286,2010,2,41,65.03,1.648648649,0.054054054,486.3636364,107,0.78,0.946,0.2,0.78858351,1.312,0.02,0.984756098,1.037,0.25,0.758919961,3.596,0.7,0.805339266,37.58,5,0.866950506,2.61,0.595,0.772030651,38,25,0.342105263
121,,Sarsen Housing,1954.714286,2010,2,42,76.18,1.648648649,0.054054054,550,66,0.88,0.946,0.25,0.735729387,1.312,0.45,0.657012195,1.037,0.15,0.855351977,3.596,3.3,0.082313682,37.58,5,0.866950506,2.61,0.595,0.772030651,143,16,0.888111888
122,,East Midlands Housing,1954.714286,2010,2,43,70.61,1.648648649,0.054054054,676.9230769,88,0.87,0.946,0.12,0.873150106,1.312,0.12,0.908536585,1.037,0.1,0.903567985,3.596,3.3,0.082313682,37.58,5,0.866950506,2.61,0.595,0.772030651,120,17,0.858333333
123,,Grove Housing Association,1896,2010,2,63,89.19,1,0.054054054,468.75,75,0.84,0.946,0.15,0.841437632,1.312,0.1,0.923780488,1.037,0.1,0.903567985,3.596,0.8,0.77753059,37.58,5,0.866950506,2.61,0.595,0.772030651,99,18,0.818181818
124,,Eco-retrofit Bolton,1954.714286,2012,2,35,83.61,1,0.054054054,33.87096774,21,0.38,0.946,0.15,0.841437632,1.312,0.201,0.84679878,1.037,0.15,0.855351977,3.596,0.7,0.805339266,37.58,5,0.866950506,2.61,0.595,0.772030651,69,50,0.275362319
125,,BYRON G. ROGERS FEDERAL BUILDING,1965,2013,10,22,45986.99,17,0.054054054,255.1020408,125,0.51,0.946,0.45,0.524312896,1.312,0.45,0.657012195,1.037,0.25,0.758919961,3.596,3.3,0.082313682,37.58,5,0.866950506,2.61,0.595,0.772030651,108,53,0.509259259
126,,Eco-retrofit Brierfield,1954.714286,2010,2,44,169.08,1,0.054054054,226.0869565,104,0.54,0.946,0.2,0.78858351,1.312,0.171,0.869664634,1.037,0.163,0.842815815,3.596,0.9,0.749721913,37.58,5,0.866950506,2.61,0.595,0.772030651,46,20,0.565217391
127,,Eco-retrofit Colne,1954.714286,2010,2,44,88.72,1,0.054054054,276.8292683,227,0.18,0.946,0.15,0.841437632,1.312,0.201,0.84679878,1.037,0.15,0.855351977,3.596,0.7,0.805339266,37.58,5,0.866950506,2.61,0.595,0.772030651,47,64,-0.361702128
128,,Eco-retrofit Ealing,1954.714286,2010,2,32,116.13,1,0.054054054,276.6233766,213,0.23,0.946,0.15,0.841437632,1.312,0.201,0.84679878,1.037,0.15,0.855351977,3.596,0.81,0.774749722,37.58,5,0.866950506,2.61,0.595,0.772030651,57,50,0.122807018
129,,Eco-retrofit Orpington,1954.714286,2010,2,52,94.76,1,0.054054054,258.8235294,176,0.32,0.946,0.35,0.630021142,1.312,0.45,0.657012195,1.037,0.25,0.758919961,3.596,0.7,0.805339266,37.58,5,0.866950506,2.61,0.595,0.772030651,57,42,0.263157895
130,,Eltham,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,,Enfield Homes retrofit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,,Flagship Retrofit,1954.714286,2010,2,62,62.71,1,0.054054054,365.5172414,106,0.71,0.946,0.35,0.630021142,1.312,0.45,0.657012195,1.037,0.25,0.758919961,3.596,3.3,0.082313682,37.58,5,0.866950506,2.61,0.595,0.772030651,87,25,0.712643678
133,,Gentoo Retrofit,1954.714286,2010,2,50,78.04,1.648648649,0.054054054,514.2857143,108,0.79,0.946,0.13,0.862579281,1.312,0.45,0.657012195,1.037,0.11,0.893924783,3.596,1.1,0.694104561,37.58,5,0.866950506,2.61,0.595,0.772030651,98,22,0.775510204
134,,Gentoo Retrofit Bid 2,1954.714286,2010,2,50,78.04,1.648648649,0.054054054,769.2307692,100,0.87,0.946,0.13,0.862579281,1.312,0.45,0.657012195,1.037,0.11,0.893924783,3.596,1.1,0.694104561,37.58,5,0.866950506,2.61,0.595,0.772030651,148,20,0.864864865
135,,Gentoo Retrofit Bid 3,1954.714286,2010,2,50,64.1,1.648648649,0.054054054,560,112,0.8,0.946,0.13,0.862579281,1.312,0.45,0.657012195,1.037,0.11,0.893924783,3.596,1.1,0.694104561,37.58,5,0.866950506,2.61,0.595,0.772030651,109,22,0.798165138
136,,Green Structures(PCM),1954.714286,2010,2,32,100.34,1,0,987.5,79,0.92,0.946,0.2,0.78858351,1.312,0.45,0.657012195,1.037,0.25,0.758919961,3.596,0.5,0.860956618,37.58,5,0.866950506,2.61,0.595,0.772030651,251,19,0.924302789
137,,Grove Cottage,1954.714286,2009,2,83,134.71,1,0,279.0697674,120,0.57,0.946,0.35,0.630021142,1.312,0.45,0.657012195,1.037,0.25,0.758919961,3.596,3.3,0.082313682,37.58,5,0.866950506,2.61,0.595,0.772030651,55,25,0.545454545
138,,Hanley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,,Hard to Heat Homes,1954.714286,2010,2,46,48.31,1,0,335.483871,104,0.69,0.946,0.15,0.841437632,1.312,0.15,0.885670732,1.037,0.09,0.913211186,3.596,0.8,0.77753059,37.58,5,0.866950506,2.61,0.595,0.772030651,81,25,0.691358025
140,,Harrow Road Retrofit,1954.714286,2010,2,31,124.95,1.648648649,0.054054054,225.8064516,70,0.69,0.946,0.13,0.862579281,1.312,0.45,0.657012195,1.037,0.1,0.903567985,3.596,3.3,0.082313682,37.58,5,0.866950506,2.61,0.595,0.772030651,43,14,0.674418605
141,,Hounslow Council,1954.714286,2010,2,32,84.54,1,0,790.9090909,87,0.89,0.946,0.095,0.899577167,1.312,0.8,0.390243902,1.037,0.11,0.893924783,3.596,0.7,0.805339266,37.58,5,0.866950506,2.61,0.595,0.772030651,155,18,0.883870968
142,,Hounslow Passivhaus Retrofit,1954.714286,2010,2,32,84.54,1,0,661.5384615,86,0.87,0.946,0.35,0.630021142,1.312,0.45,0.657012195,1.037,0.25,0.758919961,3.596,0.7,0.805339266,37.58,5,0.866950506,2.61,0.595,0.772030651,131,18,0.86259542
143,,Ilford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,,Property in Whitehaven,1954.714286,2010,2,48,76.18,1,0,414.2857143,87,0.79,0.946,0.15,0.841437632,1.312,0.2,0.847560976,1.037,0.1,0.903567985,3.596,0.7,0.805339266,37.58,5,0.866950506,2.61,0.595,0.772030651,78,17,0.782051282
145,,Inspiration Birmingham 2020,1954.714286,2010,2,85,158.86,1,0,504.3478261,116,0.77,0.946,0.2,0.78858351,1.312,0.45,0.657012195,1.037,0.25,0.758919961,3.596,0.7,0.805339266,37.58,5,0.866950506,2.61,0.595,0.772030651,94,20,0.787234043
146,,Prewett Bizley Architects,1954.714286,2010,2,32,105.91,1,0,434.7826087,100,0.77,0.946,0.35,0.630021142,1.312,0.45,0.657012195,1.037,0.25,0.758919961,3.596,0.7,0.805339266,37.58,5,0.866950506,2.61,0.595,0.772030651,79,21,0.734177215
147,,Isos Housing Group,1954.714286,2010,2,50,70.61,1,0,483.3333333,87,0.82,0.946,0.25,0.735729387,1.312,0.17,0.870426829,1.037,0.08,0.922854388,3.596,3.3,0.082313682,37.58,5,0.866950506,2.61,0.595,0.772030651,89,20,0.775280899
148,,L&Q Group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,,LB Greenwich,1954.714286,2010,2,32,108.7,1,0,614.2857143,43,0.93,0.946,0.1,0.894291755,1.312,0.13,0.900914634,1.037,0.1,0.903567985,3.596,0.7,0.805339266,37.58,5,0.866950506,2.61,0.595,0.772030651,124,10,0.919354839
150,,Lena Gardens,1954.714286,2010,2,32,195.1,1,0,383.3333333,69,0.82,0.946,0.1,0.894291755,1.312,0.1,0.923780488,1.037,0.1,0.903567985,3.596,3.3,0.082313682,37.58,5,0.866950506,2.61,0.595,0.772030651,73,11,0.849315068
151,,Leicester Housing Association,1974,2010,2,31,87.33,1,0,97.72727273,43,0.56,0.946,0.35,0.630021142,1.312,0.45,0.657012195,1.037,0.25,0.758919961,3.596,3.3,0.082313682,37.58,5,0.866950506,2.61,0.595,0.772030651,21,10,0.523809524
152,,Hastoe Housing Association,1948,2010,2,51,51.1,1.648648649,0.054054054,1828.571429,128,0.93,0.946,0.35,0.630021142,1.312,0.47,0.641768293,1.037,0.25,0.758919961,3.596,3.3,0.082313682,37.58,5,0.866950506,2.61,0.595,0.772030651,435,30,0.931034483
153,,Low Carbon Sheppey,1974,2010,2,52,74.32,1,0,313.3333333,141,0.55,0.946,0.2,0.78858351,1.312,0.4,0.695121951,1.037,0.1,0.903567985,3.596,1.1,0.694104561,37.58,5,0.866950506,2.61,0.595,0.772030651,63,27,0.571428571
154,,Hay Tor,1950,2010,2,53,78.5,1.648648649,0.054054054,288.2352941,147,0.49,0.946,0.21,0.778012685,1.312,0.19,0.855182927,1.037,0.25,0.758919961,3.596,1,0.721913237,37.58,5,0.866950506,2.61,0.595,0.772030651,57,30,0.473684211
155,,Metropolitan Housing Trust,1954.714286,2010,2,32,109.63,1,0,789.6551724,229,0.71,0.946,0.35,0.630021142,1.312,0.45,0.657012195,1.037,0.25,0.758919961,3.596,0.7,0.805339266,37.58,5,0.866950506,2.61,0.595,0.772030651,148,48,0.675675676
156,,Castle Rock Edinvar,1954.714286,2010,2,32,75.25,1.648648649,0.054054054,333.3333333,180,0.46,0.946,0.35,0.630021142,1.312,0.45,0.657012195,1.037,0.25,0.758919961,3.596,3.3,0.082313682,37.58,5,0.866950506,2.61,0.595,0.772030651,42,62,-0.476190476
157,,One Planet Sutton,1954.714286,2010,2,54,74.32,1,0,356.4102564,139,0.61,0.946,0.2,0.78858351,1.312,0.12,0.908536585,1.037,0.13,0.87463838,3.596,1.38,0.616240267,37.58,5,0.866950506,2.61,0.595,0.772030651,73,30,0.589041096
158,,Plus Dane Group,1954.714286,2010,2,55,89.19,1,0,372.5,149,0.6,0.946,0.11,0.88372093,1.312,0.12,0.908536585,1.037,0.15,0.855351977,3.596,3.3,0.082313682,37.58,5,0.866950506,2.61,0.595,0.772030651,77,31,0.597402597
159,,Peabody,1954.714286,2010,2,32,97.55,1,0,302.3255814,130,0.57,0.946,0.11,0.88372093,1.312,0.45,0.657012195,1.037,0.25,0.758919961,3.596,0.8,0.77753059,37.58,5,0.866950506,2.61,0.595,0.772030651,64,26,0.59375
160,,Peterborough EnviroCluster,1970,2010,2,34,76.18,1,0,367.7419355,114,0.69,0.946,0.16,0.830866808,1.312,0.45,0.657012195,1.037,0.1,0.903567985,3.596,0.8,0.77753059,37.58,5,0.866950506,2.61,0.595,0.772030651,68,25,0.632352941
161,,Dartford Borough Council,1954.714286,2010,2,52,60.39,1,0,395.1612903,245,0.38,0.946,0.12,0.873150106,1.312,0.17,0.870426829,1.037,0.13,0.87463838,3.596,1.5,0.582869855,37.58,5,0.866950506,2.61,0.595,0.772030651,76,48,0.368421053
162,,Redlands,1955,2011,2,33,150.5,1,0,229.5454545,101,0.56,0.946,0.35,0.630021142,1.312,0.45,0.657012195,1.037,0.25,0.758919961,3.596,3.3,0.082313682,37.58,5,0.866950506,2.61,0.595,0.772030651,44,17,0.613636364
163,,Powys County Council,1954.714286,2010,2,64,81.75,1,0,561.9047619,118,0.79,0.946,0.142,0.849894292,1.312,0.45,0.657012195,1.037,0.25,0.758919961,3.596,0.7,0.805339266,37.58,5,0.866950506,2.61,0.595,0.772030651,106,25,0.764150943
164,,White Design Associates,1954.714286,2010,2,35,69.68,1.648648649,0.054054054,426.6666667,64,0.85,0.946,0.35,0.630021142,1.312,0.45,0.657012195,1.037,0.25,0.758919961,3.596,3.3,0.082313682,37.58,5,0.866950506,2.61,0.595,0.772030651,79,12,0.848101266
165,,Appledore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,,Hockerton Housing Project Trading,1954.714286,2010,2,84,84.08,1,0,481.25,77,0.84,0.946,0.35,0.630021142,1.312,0.45,0.657012195,1.037,0.25,0.758919961,3.596,3.3,0.082313682,37.58,5,0.866950506,2.61,0.595,0.772030651,89,18,0.797752809
167,,Victorian mid-terrace,1888,2013,2,56,60.39,1,0,148.75,119,0.2,0.946,0.35,0.630021142,1.312,0.45,0.657012195,1.037,0.25,0.758919961,3.596,3.3,0.082313682,37.58,5,0.866950506,2.61,0.595,0.772030651,29,23,0.206896552
168,,Cottages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,,Home in Scotland,1970,2010,2,86,77.39,1,0,372.7272727,82,0.78,0.946,0.17,0.820295983,1.312,0.2,0.847560976,1.037,0.1,0.903567985,3.596,3.3,0.082313682,37.58,5,0.866950506,2.61,0.595,0.772030651,68,16,0.764705882
170,,A+G Architects,1960,2010,2,57,91.97,1,0,452.3809524,95,0.79,0.946,0.089,0.905919662,1.312,0.45,0.657012195,1.037,0.25,0.758919961,3.596,3.3,0.082313682,37.58,5,0.866950506,2.61,0.595,0.772030651,87,19,0.781609195
171,,Riverside HA,1950,2010,2,48,64.1,1,0,500,90,0.82,0.946,0.19,0.799154334,1.312,0.17,0.870426829,1.037,0.1,0.903567985,3.596,3.3,0.082313682,37.58,5,0.866950506,2.61,0.595,0.772030651,120,21,0.825
172,,Brampton retrofit,1950,2010,2,58,79.9,1,0,303.5714286,85,0.72,0.946,0.35,0.630021142,1.312,0.45,0.657012195,1.037,0.25,0.758919961,3.596,3.3,0.082313682,37.58,5,0.866950506,2.61,0.595,0.772030651,59,9,0.847457627
173,,Encraft Ltd,1954.714286,2010,2,59,79.9,1,0,711.1111111,192,0.73,0.946,0.15,0.841437632,1.312,0.45,0.657012195,1.037,0.25,0.758919961,3.596,0.9,0.749721913,37.58,5,0.866950506,2.61,0.595,0.772030651,148,14,0.905405405
174,,Victory Housing Trust,1954.714286,2010,2,60,85.94,1,0,432.4324324,160,0.63,0.946,0.17,0.820295983,1.312,0.45,0.657012195,1.037,0.12,0.884281581,3.596,1.1,0.694104561,37.58,5,0.866950506,2.61,0.595,0.772030651,134,38,0.71641791
175,,RCT Homes,1954.714286,2010,2,64,74.32,1,0,667.8571429,187,0.72,0.946,0.35,0.630021142,1.312,0.45,0.657012195,1.037,0.25,0.758919961,3.596,3.3,0.082313682,37.58,5,0.866950506,2.61,0.595,0.772030651,125,44,0.648
176,,SNW Home retrofit - Crawley,1968,2010,2,38,83.61,1,0,456.6666667,137,0.7,0.946,0.35,0.630021142,1.312,0.38,0.710365854,1.037,0.25,0.758919961,3.596,3.3,0.082313682,37.58,5,0.866950506,2.61,0.595,0.772030651,89,28,0.685393258
177,,SOLAR HOUSE 80/50,1954.714286,2010,2,61,99.41,1,0,285.7142857,160,0.44,0.946,0.21,0.778012685,1.312,0.16,0.87804878,1.037,0.15,0.855351977,3.596,1.2,0.666295884,37.58,5,0.866950506,2.61,0.595,0.772030651,68,38,0.441176471
178,,Victorian house,1954.714286,2010,2,32,87.33,1,0,536,268,0.5,0.946,0.21,0.778012685,1.312,0.16,0.87804878,1.037,0.15,0.855351977,3.596,1.2,0.666295884,37.58,5,0.866950506,2.61,0.595,0.772030651,102,56,0.450980392
179,,Holistic Optimal Retrofit,1989,2010,2,64,57.97,1,0,600,120,0.8,0.946,0.35,0.630021142,1.312,0.45,0.657012195,1.037,0.25,0.758919961,3.596,1.1,0.694104561,37.58,5,0.866950506,2.61,0.595,0.772030651,115,28,0.756521739
180,,South Chingford - Ascham Homes,1960,2010,2,32,104.98,1,0,443.3333333,133,0.7,0.946,0.16,0.830866808,1.312,0.45,0.657012195,1.037,0.25,0.758919961,3.596,3.3,0.082313682,37.58,5,0.866950506,2.61,0.595,0.772030651,88,26,0.704545455
181,,Yorkshire Housing,1954.714286,2010,2,58,75.25,1.648648649,0.054054054,500,155,0.69,0.946,0.25,0.735729387,1.312,0.4,0.695121951,1.037,0.13,0.87463838,3.596,3.3,0.082313682,37.58,5,0.866950506,2.61,0.595,0.772030651,93,37,0.602150538
182,,Thamesmead Retrofit House,1954.714286,2012,2,32,175.12,2,0,545,109,0.8,0.946,0.1,0.894291755,1.312,0.45,0.657012195,1.037,0.1,0.903567985,3.596,0.8,0.77753059,37.58,5,0.866950506,2.61,0.595,0.772030651,105,22,0.79047619
183,,Melin Homes,1960,2011,2,64,85.47,1,0,351.8518519,95,0.73,0.946,0.16,0.830866808,1.312,0.23,0.824695122,1.037,0.12,0.884281581,3.596,0.8,0.77753059,37.58,5,0.866950506,2.61,0.595,0.772030651,71,20,0.718309859
184,,The Oxford Whole House Carbon Reduction Project,1954.714286,2010,2,57,77.11,1,0,375,120,0.68,0.946,0.1,0.894291755,1.312,0.2,0.847560976,1.037,0.1,0.903567985,3.596,3.3,0.082313682,37.58,5,0.866950506,2.61,0.595,0.772030651,71,25,0.647887324
185,,Tower Hamlets,1960,2010,2,32,104.05,2,0,545.7142857,191,0.65,0.946,0.35,0.630021142,1.312,0.45,0.657012195,1.037,0.25,0.758919961,3.596,3.3,0.082313682,37.58,5,0.866950506,2.61,0.595,0.772030651,103,40,0.611650485
186,,Tunbridge Wells,1950,2010,2,52,77.11,1,0,356.6666667,107,0.7,0.946,0.14,0.852008457,1.312,0.48,0.634146341,1.037,0.1,0.903567985,3.596,0.8,0.77753059,37.58,5,0.866950506,2.61,0.595,0.772030651,69,17,0.753623188
187,,WHISCERS,1954.714286,2010,2,32,113.34,1,0,216.6666667,91,0.58,0.946,0.35,0.630021142,1.312,0.45,0.657012195,1.037,0.25,0.758919961,3.596,3.3,0.082313682,37.58,5,0.866950506,2.61,0.595,0.772030651,41,19,0.536585366
188,,Wakefield and District Housing Kettlethorpe retrofit 2,1950,2010,2,58,82.68,1,0,310.8108108,115,0.63,0.946,0.35,0.630021142,1.312,0.45,0.657012195,1.037,0.25,0.758919961,3.596,3.3,0.082313682,37.58,5,0.866950506,2.61,0.595,0.772030651,60,25,0.583333333
