sido_code,sido_nm,sigun_code,sigun_nm,전기사용량(TOE),가스사용량(TOE),지역난방(TOE)
33,충청북도,33043,충주시,82761,59530,0
33,충청북도,33044,제천시,50074,27088,0
33,충청북도,33320,보은군,12147,1290,0
33,충청북도,33330,옥천군,18875,4846,0
33,충청북도,33340,영동군,14283,3942,0
33,충청북도,33350,증평군,13089,9933,0
33,충청북도,33360,진천군,30744,18626,0
33,충청북도,33370,괴산군,15699,1862,0
33,충청북도,33380,음성군,42916,17221,0
33,충청북도,33390,단양군,16189,2653,0
34,충청남도,34011,천안시,108231,84138,4530
34,충청남도,34012,천안시,132316,120279,11789
34,충청남도,34020,공주시,41477,21757,0
34,충청남도,34030,보령시,35944,18344,0
34,충청남도,34040,아산시,113457,88390,9130
34,충청남도,34050,서산시,60474,45295,0
34,충청남도,34060,논산시,41550,21437,0
34,충청남도,34070,계룡시,12561,16457,0
34,충청남도,34080,당진시,66391,44513,0
34,충청남도,34310,금산군,18786,5701,0
34,충청남도,34330,부여군,19401,6498,0
34,충청남도,34340,서천군,17223,6053,0
34,충청남도,34350,청양군,9642,0,0
34,충청남도,34360,홍성군,32922,12546,7438
34,충청남도,34370,예산군,30475,12534,979
34,충청남도,34380,태안군,31464,6853,0
35,전라북도,35011,전주시,108438,123793,0
35,전라북도,35012,전주시,101807,114511,0
35,전라북도,35020,군산시,92895,78301,0
35,전라북도,35030,익산시,94227,65219,4346
35,전라북도,35040,정읍시,34970,16067,0
35,전라북도,35050,남원시,25246,11394,0
35,전라북도,35060,김제시,29616,11587,0
35,전라북도,35310,완주군,37077,17499,0
35,전라북도,35320,진안군,7941,1623,0
35,전라북도,35330,무주군,10644,2283,0
35,전라북도,35340,장수군,6925,0,0
35,전라북도,35350,임실군,7296,1566,0
35,전라북도,35360,순창군,7749,2992,0
35,전라북도,35370,고창군,17181,6118,0
35,전라북도,35380,부안군,20408,4206,0
36,전라남도,36010,목포시,76326,67879,0
36,전라남도,36020,여수시,129429,69568,0
36,전라남도,36030,순천시,87693,72030,0
36,전라남도,36040,나주시,40797,14498,11351
36,전라남도,36060,광양시,48239,32565,0
36,전라남도,36310,담양군,15682,4762,0
36,전라남도,36320,곡성군,8900,1777,0
36,전라남도,36330,구례군,8783,1864,0
36,전라남도,36350,고흥군,16519,2197,0
36,전라남도,36360,보성군,11945,1011,0
36,전라남도,36370,화순군,18239,14051,0
36,전라남도,36380,장흥군,10948,2586,0
36,전라남도,36390,강진군,10853,2651,0
36,전라남도,36400,해남군,19127,6184,0
36,전라남도,36410,영암군,19280,7100,0
36,전라남도,36420,무안군,30025,16930,0
36,전라남도,36430,함평군,8126,1628,0
36,전라남도,36440,영광군,16412,5508,0
36,전라남도,36450,장성군,15286,5226,0
36,전라남도,36460,완도군,15533,0,0
36,전라남도,36470,진도군,8624,0,0
36,전라남도,36480,신안군,9641,0,0
37,경상북도,37011,포항시,80016,70793,9714
37,경상북도,37012,포항시,77141,80978,0
37,경상북도,37020,경주시,99961,40328,0
37,경상북도,37030,김천시,44183,29280,0
37,경상북도,37040,안동시,62608,37681,0
37,경상북도,37050,구미시,120830,138170,0
37,경상북도,37060,영주시,34835,22574,0
37,경상북도,37070,영천시,31227,10574,0
37,경상북도,37080,상주시,29644,9093,0
37,경상북도,37090,문경시,25878,6916,0
37,경상북도,37100,경산시,84751,85655,0
37,경상북도,37310,군위군,7804,883,0
37,경상북도,37320,의성군,14627,1634,0
37,경상북도,37330,청송군,9006,0,0
37,경상북도,37340,영양군,5744,0,0
37,경상북도,37350,영덕군,14272,2378,0
37,경상북도,37360,청도군,13561,2135,0
37,경상북도,37370,고령군,12206,3462,0
37,경상북도,37380,성주군,13800,1030,0
37,경상북도,37390,칠곡군,45894,30713,0
37,경상북도,37400,예천군,16961,9691,0
37,경상북도,37410,봉화군,10768,1704,0
37,경상북도,37420,울진군,18185,2920,0
37,경상북도,37430,울릉군,3853,0,0
38,경상남도,38030,창원시,67502,59286,0
