SIG_CD,SIG_ENG_NM,SIG_KOR_NM,전기사용량(TOE),가스사용량(TOE),지역난방(TOE)
42230,Samcheok-si,삼척시,22170,4561,0
42720,Hongcheon-gun,홍천군,34125,11811,0
42730,Hoengseong-gun,횡성군,23863,4398,0
42750,Yeongwol-gun,영월군,16323,3969,0
42760,Pyeongchang-gun,평창군,32770,0,0
42770,Jeongseon-gun,정선군,18565,6838,0
42780,Cheorwon-gun,철원군,19762,0,0
42790,Hwacheon-gun,화천군,9489,0,0
42800,Yanggu-gun,양구군,8550,0,0
42810,Inje-gun,인제군,14872,0,0
42820,Goseong-gun,고성군,14701,1990,0
42830,Yangyang-gun,양양군,15709,2032,0
43111,"Sangdang-gu, Cheongju-si",청주시 상당구,55052,31688,17284
43112,"Seowon-gu, Cheongju-si",청주시 서원구,72345,35786,25914
43113,"Heungdeok-gu, Cheongju-si",청주시 흥덕구,101559,79843,15406
43114,"Cheongwon-gu, Cheongju-si",청주시 청원구,72244,60517,0
43130,Chungju-si,충주시,82761,59530,0
43150,Jecheon-si,제천시,50074,27088,0
43720,Boeun-gun,보은군,12147,1290,0
43730,Okcheon-gun,옥천군,18875,4846,0
43740,Yeongdong-gun,영동군,14283,3942,0
43745,Jeungpyeong-gun,증평군,13089,9933,0
43750,Jincheon-gun,진천군,30744,18626,0
43760,Goesan-gun,괴산군,15699,1862,0
43770,Eumseong-gun,음성군,42916,17221,0
43800,Danyang-gun,단양군,16189,2653,0
44131,"Dongnam-gu, Cheonan-si",천안시동남구,108231,84138,4530
44133,"Seobuk-gu, Cheonan-si",천안시서북구,132316,120279,11789
44150,Gongju-si,공주시,41477,21757,0
44180,Boryeong-si,보령시,35944,18344,0
44200,Asan-si,아산시,113457,88390,9130
44210,Seosan-si,서산시,60474,45295,0
44230,Nonsan-si,논산시,41550,21437,0
44250,Gyeryong-si,계룡시,12561,16457,0
44270,Dangjin-si,당진시,66391,44513,0
44710,Geumsan-gun,금산군,18786,5701,0
44760,Buyeo-gun,부여군,19401,6498,0
44770,Seocheon-gun,서천군,17223,6053,0
44790,Cheongyang-gun,청양군,9642,0,0
44800,Hongseong-gun,홍성군,32922,12546,7438
44810,Yesan-gun,예산군,30475,12534,979
44825,Taean-gun,태안군,31464,6853,0
45111,"Wansan-gu, Jeonju-si",전주시완산구,108438,123793,0
45113,"Deokjin-gu, Jeonju-si",전주시덕진구,101807,114511,0
45130,Gunsan-si,군산시,92895,78301,0
45140,Iksan-si,익산시,94227,65219,4346
45180,Jeongeup-si,정읍시,34970,16067,0
45190,Namwon-si,남원시,25246,11394,0
45210,Gimje-si,김제시,29616,11587,0
45710,Wanju-gun,완주군,37077,17499,0
45720,Jinan-gun,진안군,7941,1623,0
45730,Muju-gun,무주군,10644,2283,0
45740,Jangsu-gun,장수군,6925,0,0
45750,Imsil-gun,임실군,7296,1566,0
45770,Sunchang-gun,순창군,7749,2992,0
45790,Gochang-gun,고창군,17181,6118,0
45800,Buan-gun,부안군,20408,4206,0
46110,Mokpo-si,목포시,76326,67879,0
46130,Yeosu-si,여수시,129429,69568,0
46150,Suncheon-si,순천시,87693,72030,0
46170,Naju-si,나주시,40797,14498,11351
46230,Gwangyang-si,광양시,48239,32565,0
46710,Damyang-gun,담양군,15682,4762,0
46720,Gokseong-gun,곡성군,8900,1777,0
46730,Gurye-gun,구례군,8783,1864,0
46770,Goheung-gun,고흥군,16519,2197,0
46780,Boseong-gun,보성군,11945,1011,0
46790,Hwasun-gun,화순군,18239,14051,0
46800,Jangheung-gun,장흥군,10948,2586,0
46810,Gangjin-gun,강진군,10853,2651,0
46820,Haenam-gun,해남군,19127,6184,0
46830,Yeongam-gun,영암군,19280,7100,0
46840,Muan-gun,무안군,30025,16930,0
46860,Hampyeong-gun,함평군,8126,1628,0
46870,Yeonggwang-gun,영광군,16412,5508,0
46880,Jangseong-gun,장성군,15286,5226,0
46890,Wando-gun,완도군,15533,0,0
46900,Jindo-gun,진도군,8624,0,0
46910,Sinan-gun,신안군,9641,0,0
47111,"Nam-gu, Pohang-si",포항시 남구,80016,70793,9714
47113,"Buk-gu, Pohang-si",포항시 북구,77141,80978,0
47130,Gyeongju-si,경주시,99961,40328,0
47150,Gimcheon-si,김천시,44183,29280,0
47170,Andong-si,안동시,62608,37681,0
47190,Gumi-si,구미시,120830,138170,0
47210,Yeongju-si,영주시,34835,22574,0
47230,Yeongcheon-si,영천시,31227,10574,0
47250,Sangju-si,상주시,29644,9093,0
47280,Mungyeong-si,문경시,25878,6916,0
47290,Gyeongsan-si,경산시,84751,85655,0
47720,Gunwi-gun,군위군,7804,883,0
47730,Uiseong-gun,의성군,14627,1634,0
47750,Cheongsong-gun,청송군,9006,0,0
47760,Yeongyang-gun,영양군,5744,0,0
47770,Yeongdeok-gun,영덕군,14272,2378,0
47820,Cheongdo-gun,청도군,13561,2135,0
47830,Goryeong-gun,고령군,12206,3462,0
47840,Seongju-gun,성주군,13800,1030,0
47850,Chilgok-gun,칠곡군,45894,30713,0
47900,Yecheon-gun,예천군,16961,9691,0
47920,Bonghwa-gun,봉화군,10768,1704,0
47930,Uljin-gun,울진군,18185,2920,0
47940,Ulleung-gun,울릉군,3853,0,0
48121,"Uichang-gu, Changwon-si",창원시 의창구,67502,59286,0
48123,"Seongsan-gu, Changwon-si",창원시 성산구,72801,72100,0
48125,"Masanhappo-gu, Changwon-si",창원시 마산합포구,60326,44188,0
48127,"Masanhoewon-gu, Changwon-si",창원시 마산회원구,55154,61610,0
48129,"Jinhae-gu, Changwon-si",창원시 진해구,55129,51176,0
48170,Jinju-si,진주시,117443,78628,8937
48220,Tongyeong-si,통영시,59752,24757,0
48240,Sacheon-si,사천시,33626,20583,0
48250,Gimhae-si,김해시,168121,140319,19956
48270,Miryang-si,밀양시,35974,13464,0
48310,Geoje-si,거제시,71881,31418,0
48330,Yangsan-si,양산시,116573,72148,28935
48720,Uiryeong-gun,의령군,7377,1983,0
48730,Haman-gun,함안군,23231,9556,0
48740,Changnyeong-gun,창녕군,20283,2471,0
48820,Goseong-gun,고성군,22499,3465,0
48840,Namhae-gun,남해군,14509,0,0
48850,Hadong-gun,하동군,17431,1660,0
48860,Sancheong-gun,산청군,10936,0,0
48870,Hamyang-gun,함양군,11144,3395,0
48880,Geochang-gun,거창군,19408,9772,0
48890,Hapcheon-gun,합천군,13390,0,0
50110,Jeju-si,제주시,187245,38051,0
50130,Seogwipo-si,서귀포시,82792,3359,0
