,pic,name,loc,BT,Area,ER,UWaB,UWaA,UFB,UFA,URB,URA,UWiB,UWiA,ATB,ATA,SCB,SCA
165,img/rec_fig/166.png,Hockerton Housing Project Trading,84,2,84.08,0.84,0.946,0.35,1.312,0.45,1.037,0.25,3.596,3.3,37.58,5,2.61,0.595
166,img/rec_fig/167.png,Victorian mid-terrace,56,2,60.39,0.2,0.946,0.35,1.312,0.45,1.037,0.25,3.596,3.3,37.58,5,2.61,0.595
167,img/rec_fig/168.png,Cottages,,,,,,,,,,,,,,,,
168,img/rec_fig/169.png,Home in Scotland,86,2,77.39,0.78,0.946,0.17,1.312,0.2,1.037,0.1,3.596,3.3,37.58,5,2.61,0.595
169,img/rec_fig/170.png,A+G Architects,57,2,91.97,0.79,0.946,0.089,1.312,0.45,1.037,0.25,3.596,3.3,37.58,5,2.61,0.595
170,img/rec_fig/171.png,Riverside HA,48,2,64.1,0.82,0.946,0.19,1.312,0.17,1.037,0.1,3.596,3.3,37.58,5,2.61,0.595
171,img/rec_fig/172.png,Brampton retrofit,58,2,79.9,0.72,0.946,0.35,1.312,0.45,1.037,0.25,3.596,3.3,37.58,5,2.61,0.595
172,img/rec_fig/173.png,Encraft Ltd,59,2,79.9,0.73,0.946,0.15,1.312,0.45,1.037,0.25,3.596,0.9,37.58,5,2.61,0.595
173,img/rec_fig/174.png,Victory Housing Trust,60,2,85.94,0.63,0.946,0.17,1.312,0.45,1.037,0.12,3.596,1.1,37.58,5,2.61,0.595
174,img/rec_fig/175.png,RCT Homes,64,2,74.32,0.72,0.946,0.35,1.312,0.45,1.037,0.25,3.596,3.3,37.58,5,2.61,0.595
175,img/rec_fig/176.png,SNW Home retrofit - Crawley,38,2,83.61,0.7,0.946,0.35,1.312,0.38,1.037,0.25,3.596,3.3,37.58,5,2.61,0.595
176,img/rec_fig/177.png,SOLAR HOUSE 80/50,61,2,99.41,0.44,0.946,0.21,1.312,0.16,1.037,0.15,3.596,1.2,37.58,5,2.61,0.595
177,img/rec_fig/178.png,Victorian house,32,2,87.33,0.5,0.946,0.21,1.312,0.16,1.037,0.15,3.596,1.2,37.58,5,2.61,0.595
178,img/rec_fig/179.png,Holistic Optimal Retrofit,64,2,57.97,0.8,0.946,0.35,1.312,0.45,1.037,0.25,3.596,1.1,37.58,5,2.61,0.595
179,img/rec_fig/180.png,South Chingford - Ascham Homes,32,2,104.98,0.7,0.946,0.16,1.312,0.45,1.037,0.25,3.596,3.3,37.58,5,2.61,0.595
180,img/rec_fig/181.png,Yorkshire Housing,58,2,75.25,0.69,0.946,0.25,1.312,0.4,1.037,0.13,3.596,3.3,37.58,5,2.61,0.595
181,img/rec_fig/182.png,Thamesmead Retrofit House,32,2,175.12,0.8,0.946,0.1,1.312,0.45,1.037,0.1,3.596,0.8,37.58,5,2.61,0.595
182,img/rec_fig/183.png,Melin Homes,64,2,85.47,0.73,0.946,0.16,1.312,0.23,1.037,0.12,3.596,0.8,37.58,5,2.61,0.595
183,img/rec_fig/184.png,The Oxford Whole House Carbon Reduction Project,57,2,77.11,0.68,0.946,0.1,1.312,0.2,1.037,0.1,3.596,3.3,37.58,5,2.61,0.595
184,img/rec_fig/185.png,Tower Hamlets,32,2,104.05,0.65,0.946,0.35,1.312,0.45,1.037,0.25,3.596,3.3,37.58,5,2.61,0.595
185,img/rec_fig/186.png,Tunbridge Wells,52,2,77.11,0.7,0.946,0.14,1.312,0.48,1.037,0.1,3.596,0.8,37.58,5,2.61,0.595
186,img/rec_fig/187.png,WHISCERS,32,2,113.34,0.58,0.946,0.35,1.312,0.45,1.037,0.25,3.596,3.3,37.58,5,2.61,0.595
187,img/rec_fig/188.png,Wakefield and District Housing Kettlethorpe retrofit 2,58,2,82.68,0.63,0.946,0.35,1.312,0.45,1.037,0.25,3.596,3.3,37.58,5,2.61,0.595
188,img/rec_fig/189.png,Two Piers Housing Co-Operative,39,2,177.44,0.81,0.946,0.15,1.312,0.14,1.037,0.1,3.596,3.3,37.58,5,2.61,0.595
189,img/rec_fig/190.png,Crawley Homes,38,2,78.97,0.71,0.946,0.15,1.312,0.38,1.037,0.25,3.596,3.3,37.58,5,2.61,0.595
190,img/rec_fig/191.png,Princedale Road,32,2,0,0.49,0.946,0.35,1.312,0.45,1.037,0.25,3.596,0.7,37.58,5,2.61,0.595
191,img/rec_fig/192.png,Mosaic Midmoor Road,32,2,0,0.67,0.946,0.35,1.312,0.45,1.037,0.25,3.596,0.7,37.58,5,2.61,0.595
192,img/rec_fig/193.png,Penzance,41,2,0,0.79,0.946,0.35,1.312,0.45,1.037,0.25,3.596,0.7,37.58,5,2.61,0.595
193,img/rec_fig/194.png,406 Collins Street,65,11,4004.12,0.5,0.946,0.45,1.312,0.45,1.037,0.25,3.596,3.3,37.58,5,2.61,0.595
194,img/rec_fig/195.png,182 Capel Street,65,11,1600.72,0.5,0.946,0.45,1.312,0.45,1.037,0.25,3.596,3.3,37.58,5,2.61,0.595
195,img/rec_fig/196.png,Council House 2 (CH2),,,,,,,,,,,,,,,,
196,img/rec_fig/197.png,1525 WILSON BOULEVARD,30,11,29109.95,0.25,0.946,0.45,1.312,0.45,1.037,0.25,3.596,0.7,37.58,5,2.61,0.595
197,img/rec_fig/198.png,Johann B?mstrasse 34 + 36,67,2,2844.97,0.72,0.946,0.87,1.312,0.45,1.037,0.87,3.596,0.87,37.58,5,2.61,0.595
198,img/rec_fig/199.png,Vester Voldgade.DK,68,11,6734.54,0.5,0.946,1.23,1.312,0.45,1.037,0.18,3.596,2,37.58,5,2.61,0.595
199,img/rec_fig/200.png,PHI_GAG_Hoheloog_Ludwigshafen,75,2,960.15,0.94,0.946,0.1,1.312,0.17,1.037,0.1,3.596,0.8,37.58,5,2.61,0.595
200,img/rec_fig/201.png,Factor10_N?nberg,76,2,960.15,0.84,0.946,0.35,1.312,0.45,1.037,0.25,3.596,0.7,37.58,5,2.61,0.595
201,img/rec_fig/202.png,Gym Ostfildern,77,10,2439.91,0.55,0.946,0.2,1.312,0.45,1.037,0.2,3.596,1.29,37.58,5,2.61,0.595
202,img/rec_fig/203.png,Angela School,78,7,2670.03,0.78,0.946,0.45,1.312,0.45,1.037,0.25,3.596,0.7,37.58,5,2.61,0.595
203,img/rec_fig/204.png,Friedrich-Fr?el-School Olbersdorf,79,7,5610.41,0.74,0.946,0.45,1.312,0.45,1.037,0.25,3.596,3.3,37.58,5,2.61,0.595
204,img/rec_fig/205.png,High School Passive House,82,7,1016.36,0.9,0.946,0.45,1.312,0.45,1.037,0.25,3.596,3.3,37.58,5,2.61,0.595
205,img/rec_fig/206.png,Riga,,,,,,,,,,,,,,,,
206,img/rec_fig/207.png,The Mildmay Centre,32,11,665.19,0.85,0.946,0.45,1.312,0.45,1.037,0.25,3.596,3.3,37.58,5,2.61,0.595
207,img/rec_fig/208.png,Grand Junction,22,11,3861.05,0.99,0.946,0.085,1.312,0.45,1.037,0.3,3.596,3.3,37.58,5,2.61,0.595
208,img/rec_fig/209.png,Silver Spring and Lanham,29,11,14643.56,0.47,0.946,0.45,1.312,0.45,1.037,0.25,3.596,3.3,37.58,5,2.61,0.595
209,img/rec_fig/210.png,Intelligence Community Campus,29,11,21367.69,0.47,0.946,0.45,1.312,0.45,1.037,0.25,3.596,3.3,37.58,5,2.61,0.595
210,img/rec_fig/211.png,Johnson Braund Design Group,18,11,743.22,0.41,0.946,0.45,1.312,0.45,1.037,0.25,3.596,3.3,37.58,5,2.61,0.595
