explain_path,photo_path,name,design,built_year,re_year,area,ground_floor,underground_floor,build_type,loc,wall,roof,window,airtight,awning,coolheat,ventilation,lighting,sunlight,solarheat,geothermal,fuelcell,ess,cost,energy,area_year_energy_,energy_grade
https://raw.githubusercontent.com/Saem-repo/remodel_app/master/img/pop_up/Explain_24.png,img/rec_fig/24.png,전남 광양시 의회청사,1,1993,2018,6895.00,5,1,10,9,1,0,1,1,1,1,1,0,0,0,0,0,0,1396000000.00,0.69,149.20,1+
https://raw.githubusercontent.com/Saem-repo/remodel_app/master/img/pop_up/Explain_25.png,img/rec_fig/25.png,충북 음성군청 본청사,1,1995,2018,8684.00,6,1,10,4,1,0,1,1,0,1,0,1,1,0,0,1,0,4319000000.00,0.60,142.90,1+
https://raw.githubusercontent.com/Saem-repo/remodel_app/master/img/pop_up/Explain_26.png,img/rec_fig/26.png,진주 평거2주공아파트,1,1991,2018,22036.00,6,1,2,12,1,0,1,0,0,0,1,1,1,0,0,0,0,3172000000.00,0.48,88.40,1++
https://raw.githubusercontent.com/Saem-repo/remodel_app/master/img/pop_up/Explain_27.png,img/rec_fig/27.png,충북 중앙경찰학교 1강의동,1,1987,2018,8732.00,4,1,6,4,1,0,1,1,0,1,1,1,1,0,0,0,0,4892000000.00,0.28,199.00,1+
https://raw.githubusercontent.com/Saem-repo/remodel_app/master/img/pop_up/Explain_28.png,img/rec_fig/28.png,과천시민회관,1,1995,2018,41056.00,4,3,10,2,1,0,0,1,0,1,1,0,0,0,0,0,0,1167000000.00,0.51,261.00,2
https://raw.githubusercontent.com/Saem-repo/remodel_app/master/img/pop_up/Explain_29.png,img/rec_fig/29.png,경북 구미시청 본관,1,1979,2018,8360.00,5,1,10,11,1,0,1,1,1,1,1,1,1,0,0,1,0,6074000000.00,0.44,194.70,1+
https://raw.githubusercontent.com/Saem-repo/remodel_app/master/img/pop_up/Explain_30.png,img/rec_fig/30.png,부산 금정구청,1,1991,2018,14464.00,8,2,10,14,1,0,1,1,0,1,1,1,1,0,0,0,0,6891000000.00,0.61,197.00,1+
https://raw.githubusercontent.com/Saem-repo/remodel_app/master/img/pop_up/Explain_31.png,img/rec_fig/31.png,경남 하동군청사,1,1992,2018,5330.00,3,1,10,12,1,0,1,1,0,1,1,1,1,0,0,0,0,144100000.00,0.50,133.00,1++
https://raw.githubusercontent.com/Saem-repo/remodel_app/master/img/pop_up/Explain_32.png,img/rec_fig/32.png,하남시 신장도서관,1,1996,2018,2145.00,3,1,6,2,1,0,1,0,0,1,1,0,1,0,0,0,0,2233000000.00,0.90,24.23,1+++
https://raw.githubusercontent.com/Saem-repo/remodel_app/master/img/pop_up/Explain_33.png,img/rec_fig/33.png,부산 중구청,1,1988,2018,7860.00,8,2,10,14,1,0,1,1,0,1,1,1,1,0,0,0,0,4855000000.00,0.46,156.90,1+
https://raw.githubusercontent.com/Saem-repo/remodel_app/master/img/pop_up/Explain_34.png,img/rec_fig/34.png,대구 시립중앙도서관,1,1985,2018,10181.00,4,1,6,13,1,0,1,0,0,1,1,1,1,0,0,0,0,3533000000.00,0.51,130.30,1++
https://raw.githubusercontent.com/Saem-repo/remodel_app/master/img/pop_up/Explain_35.png,img/rec_fig/35.png,충남 청양 우체국,1,1991,2018,1569.00,2,1,10,5,1,0,1,0,0,1,1,0,1,0,0,0,0,694000000.00,0.63,90.18,1++
https://raw.githubusercontent.com/Saem-repo/remodel_app/master/img/pop_up/Explain_36.png,img/rec_fig/36.png,국립농산물품질관리원 경남지원,1,1988,2018,1697.00,5,1,10,12,1,0,1,1,0,0,1,1,1,0,0,0,0,698000000.00,0.57,138.80,1++
https://raw.githubusercontent.com/Saem-repo/remodel_app/master/img/pop_up/Explain_37.png,img/rec_fig/37.png,한국철도공사 동대구역사,1,1971,2018,31965.00,5,1,10,13,1,0,1,0,1,1,1,1,1,0,0,0,0,17458000000.00,0.81,319.30,2
https://raw.githubusercontent.com/Saem-repo/remodel_app/master/img/pop_up/Explain_38.png,img/rec_fig/38.png,전남 장성군 북일면 행정복지센터,1,1989,2018,722.00,2,1,10,9,1,0,1,1,0,1,1,1,1,0,0,0,0,447000000.00,0.72,122.10,1++
https://raw.githubusercontent.com/Saem-repo/remodel_app/master/img/pop_up/Explain_39.png,img/rec_fig/39.png,강원대학교 농업생명과학대학 1호관,1,1978,2018,4222.00,4,1,6,16,1,0,1,0,0,1,1,0,1,0,0,0,0,2033000000.00,0.87,210.20,1
https://raw.githubusercontent.com/Saem-repo/remodel_app/master/img/pop_up/Explain_40.png,img/rec_fig/40.png,서울 서초구 서운중학교,1,1984,2018,8662.00,4,1,6,1,1,0,1,0,1,1,1,1,1,0,0,0,0,3057000000.00,0.52,11.50,1+++
https://raw.githubusercontent.com/Saem-repo/remodel_app/master/img/pop_up/Explain_41.png,img/rec_fig/41.png,서울대학교 공학관2(31동),1,1979,2018,6987.00,4,1,6,1,1,0,1,0,0,1,0,1,1,0,0,0,0,1776000000.00,0.46,197.90,1+
https://raw.githubusercontent.com/Saem-repo/remodel_app/master/img/pop_up/Explain_42.png,img/rec_fig/42.png,한국철도공사서울사옥,1,1979,2018,23272.28,8,2,10,1,1,0,1,1,0,0,1,1,1,0,0,0,0,4646000000.00,0.39,262.10,2
https://raw.githubusercontent.com/Saem-repo/remodel_app/master/img/pop_up/Explain_43.png,img/rec_fig/43.png,부산 범일2동 주민센터,1,1989,2016,400.26,2,1,10,14,1,0,0,0,0,1,1,1,1,0,0,0,0,380000000.00,0.80,78.35,1+++
https://raw.githubusercontent.com/Saem-repo/remodel_app/master/img/pop_up/Explain_44.png,img/rec_fig/44.png,대구 침산1동 주민센터,1,1992,2017,551.48,2,1,10,13,1,0,1,0,1,0,1,1,1,0,0,0,0,345000000.00,0.65,92.12,1++
https://raw.githubusercontent.com/Saem-repo/remodel_app/master/img/pop_up/Explain_45.png,img/rec_fig/45.png,한국 환경산업 기술원 연수동,1,1977,2014,3514.00,4,1,10,1,1,0,1,0,0,1,1,1,1,0,0,0,0,4795000.00,0.67,190.00,1+
https://raw.githubusercontent.com/Saem-repo/remodel_app/master/img/pop_up/Explain_46.png,img/rec_fig/46.png,인천 의료원 장례식장,1,1997,2016,3469.00,4,1,14,3,1,0,1,1,0,1,1,1,1,1,0,0,0,NaN,0.39,353.30,3
https://raw.githubusercontent.com/Saem-repo/remodel_app/master/img/pop_up/Explain_47.png,img/rec_fig/47.png,춘천 교도소,1,1981,2014,112554.00,2,1,15,16,1,0,1,0,1,1,1,1,0,1,0,0,0,770960.00,0.59,234.50,1
https://raw.githubusercontent.com/Saem-repo/remodel_app/master/img/pop_up/Explain_48.png,img/rec_fig/48.png,목포 대학교 사회 과학관,1,1982,2014,13605.00,4,1,6,9,1,0,1,0,0,1,1,1,1,1,1,0,0,2740000.00,0.41,192.10,1+
https://raw.githubusercontent.com/Saem-repo/remodel_app/master/img/pop_up/Explain_49.png,img/rec_fig/49.png,정읍시 연지청사,1,1990,2014,1739.00,4,1,10,8,1,0,0,0,0,0,1,1,1,1,0,0,0,1641828.00,0.29,218.00,1
https://raw.githubusercontent.com/Saem-repo/remodel_app/master/img/pop_up/Explain_50.png,img/rec_fig/50.png,거창 여자고등학교,1,1972,2014,9487.00,3,1,6,12,1,0,1,0,0,0,1,1,1,1,0,0,0,NaN,0.36,170.10,1+
https://raw.githubusercontent.com/Saem-repo/remodel_app/master/img/pop_up/Explain_51.png,img/rec_fig/51.png,통영시청 제2청사,1,1989,2020,5684.60,5,1,10,12,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0.24,15.00,1+++
https://raw.githubusercontent.com/Saem-repo/remodel_app/master/img/pop_up/Explain_52.png,img/rec_fig/52.png,영천시청 본관,1,1989,2020,5495.50,3,0,10,11,1,0,0,0,0,0,1,0,1,0,0,0,0,NaN,0.13,123.01,1++
https://raw.githubusercontent.com/Saem-repo/remodel_app/master/img/pop_up/Explain_53.png,img/rec_fig/53.png,경찰청사 남관,1,1989,2020,3571.00,1,1,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0.36,24.53,1+++
https://raw.githubusercontent.com/Saem-repo/remodel_app/master/img/pop_up/Explain_54.png,img/rec_fig/54.png,서울도봉경찰서,1,1989,2020,9099.90,4,1,10,1,0,0,0,0,0,0,0,1,0,0,0,0,0,NaN,0.24,65.00,1+++
https://raw.githubusercontent.com/Saem-repo/remodel_app/master/img/pop_up/Explain_55.png,img/rec_fig/55.png,전라북도 농업기술원,1,1989,2020,14413.50,3,0,10,8,1,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0.28,33.00,1+++
https://raw.githubusercontent.com/Saem-repo/remodel_app/master/img/pop_up/Explain_56.png,img/rec_fig/56.png,통영시 수산과학관,1,1989,2020,3587.00,2,1,6,12,1,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0.24,16.00,1+++
https://raw.githubusercontent.com/Saem-repo/remodel_app/master/img/pop_up/Explain_57.png,img/rec_fig/57.png,목포자연사박물관 자연사관동,1,1989,2020,6610.90,4,1,3,9,1,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0.22,43.00,1+++
